開始期間： 全期間,締日： 20,費目： 全費目,購入者： 全会員
日付,期間区分,決済区分,売上額,費目,ユーザー区分,ユーザー名,ニックネーム
2022/05/07,日,決済,450,月次サブスク,女性会員,原田市子,hanako123
2022/05/07,日,決済,450,月次サブスク,女性会員,原田市子,hanako123
2022/05/05,日,決済,440,サブスク休止,女性会員,原田市子,hanako123
2022/05/05,日,決済,440,月次サブスク,女性会員,原田市子,hanako123
2022/04/30,日,決済,420,サブスク休止,女性会員,原田市子,hanako123
2022/04/16,日,決済,10000,ポイント購入,女性会員,原田市子,hanako123
2022/04/04,日,決済,470,サブスク休止,女性会員,原田市子,hanako123
2021/11/13,日,決済,410,サブスク休止,男性会員,山田次郎,次郎
2021/11/11,日,決済,440,ポイント購入,女性会員,原田市子,hanako123
2021/11/11,日,決済,470,月次ポイント,女性会員,原田市子,hanako123
2021/11/11,日,決済,440,サブスク休止,女性会員,原田市子,hanako123
2021/11/11,日,決済,440,月次サブスク,女性会員,原田市子,hanako123
